datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s32b_b82k,Avg Sum,0.6794,0.6281,0.6571,0.6986,0.6809,0.688,0.697,0.6457,0.6698,0.6695,0.6765,0.6827,0.731,0.7209,0.4775,0.6869,0.7808,0.777,0.5509,0.1975
openai,Avg Sum,0.5922,0.5075,0.5929,0.6486,0.5894,0.5961,0.595,0.5427,0.5421,0.6017,0.5836,0.6019,0.6787,0.1065,0.5114,0.7519,0.8451,0.746,0.7221,0.5166
datacomp_xl_s13b_b90k,Avg Sum,0.6193,0.603,0.632,0.6444,0.6164,0.6258,0.6098,0.593,0.6075,0.5254,0.6233,0.6149,0.7123,0.7703,0.3561,0.5555,0.7635,0.7071,0.3722,0.2492
laion400m_e32,Avg Sum,0.6512,0.608,0.6423,0.6935,0.6515,0.6502,0.6615,0.6131,0.6137,0.6525,0.6436,0.6596,0.7794,0.6887,0.5034,0.5032,0.7988,0.6821,0.5649,0.1426
commonpool_xl_s13b_b90k,Avg Sum,0.5774,0.5829,0.5848,0.6029,0.5694,0.5914,0.5735,0.5176,0.5701,0.6441,0.5784,0.5763,0.7626,0.6173,0.3099,0.4883,0.8066,0.6003,0.4111,0.261
