datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s34b_b88k,Avg Sum,0.6496,0.6231,0.6283,0.6926,0.6397,0.6605,0.6652,0.6206,0.6106,0.6949,0.6366,0.6643,0.7142,0.5755,0.6217,0.6155,0.8271,0.7124,0.4648,0.1825
commonpool_l_s1b_b8k,Avg Sum,0.3712,0.4422,0.4181,0.3963,0.3503,0.3687,0.337,0.3844,0.3583,0.4322,0.3579,0.3861,0.2503,0.5281,0.0074,0.3951,0.5925,0.6939,0.0265,0.3489
openai,Avg Sum,0.5886,0.5528,0.5701,0.6393,0.5855,0.5979,0.6201,0.5214,0.5265,0.5169,0.5844,0.5932,0.5935,0.271,0.5749,0.776,0.7738,0.7038,0.5459,0.3346
datacomp_xl_s13b_b90k,Avg Sum,0.5079,0.5226,0.542,0.5546,0.4748,0.5206,0.4952,0.5,0.4766,0.5763,0.5014,0.5151,0.2813,0.6326,0.3703,0.5088,0.8194,0.5712,0.2862,0.2144
laion400m_e32,Avg Sum,0.619,0.6231,0.6084,0.6579,0.6209,0.624,0.6179,0.5565,0.6012,0.678,0.6051,0.6346,0.6903,0.6561,0.5052,0.5244,0.75,0.6623,0.5045,0.1088
datacomp_l_s1b_b8k,Avg Sum,0.3392,0.3367,0.3768,0.3878,0.3282,0.3266,0.3259,0.3153,0.2897,0.4322,0.3277,0.3522,0.2729,0.2197,0.1134,0.1845,0.7886,0.4624,0.3821,0.2328
