datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s34b_b79k,Avg Sum,0.5977,0.6683,0.6128,0.6113,0.6052,0.5918,0.5787,0.5691,0.5545,0.6017,0.5841,0.6129,0.731,0.7472,0.4295,0.4594,0.7192,0.6095,0.3854,0.1976
openai,Avg Sum,0.6146,0.5879,0.5826,0.6469,0.6203,0.6275,0.6135,0.5829,0.5763,0.6186,0.6024,0.6282,0.6265,0.4446,0.4794,0.7555,0.8368,0.7051,0.5095,0.1779
datacomp_xl_s13b_b90k,Avg Sum,0.4235,0.4472,0.4594,0.4539,0.4018,0.4232,0.4294,0.4045,0.3676,0.4915,0.4275,0.419,0.4381,0.4441,0.1744,0.3279,0.7526,0.5237,0.2663,0.2438
commonpool_m_s128m_b4k,Avg Sum,0.1728,0.2412,0.2021,0.1727,0.1606,0.1691,0.1715,0.1746,0.1558,0.1864,0.1647,0.1819,0.1026,0.212,0.0043,0.0028,0.5116,0.2012,0.1489,0.1663
datacomp_m_s128m_b4k,Avg Sum,0.2025,0.2613,0.2729,0.1998,0.1885,0.1914,0.1944,0.1771,0.1776,0.2627,0.1961,0.2096,0.2039,0.1458,0.0099,0.0049,0.5611,0.3496,0.1423,0.1976
laion400m_e32,Avg Sum,0.5538,0.5176,0.5317,0.5766,0.5479,0.5768,0.5565,0.5314,0.5202,0.5593,0.5388,0.5705,0.5742,0.564,0.3623,0.4601,0.8226,0.6755,0.378,0.1858
