,Mode,balanced_accuracy,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9577753975610122,0.9491068410861425,0.9633970268934535,0.9649440131269087,0.9441826730692277,0.9301562554249616,0.9695338349528927,0.9801567333855157,0.741976893453145,0.902662848490833,0.9274255839155197,0.967428875694585,0.9827240763812353,0.9813575282500255,0.9752284946236559,0.9907831172133231,0.9491379310344827
1,Top 1,0.9577753975610122,0.9491068410861425,0.9633970268934535,0.9649440131269087,0.9441826730692277,0.9301562554249616,0.9695338349528927,0.9801567333855157,0.741976893453145,0.902662848490833,0.9274255839155197,0.967428875694585,0.9827240763812353,0.9813575282500255,0.9752284946236559,0.9907831172133231,0.9491379310344827
