,Mode,balanced_accuracy,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9482714136561057,0.9528779380008359,0.9350000832958503,0.9392090429815099,0.9522008803521409,0.9301926285002885,0.9683015426280897,0.9667850087591785,0.7824668378262729,0.9230835061387052,0.9221181780452377,0.9496730840165153,0.9651606449758015,0.9692049272116461,0.9752284946236559,0.9795957284515637,0.9833333333333334
1,Top 1,0.9543821950569504,0.9580559121309444,0.9467864460992553,0.9498556647776477,0.9527711084433774,0.9397174142711414,0.9684320820692764,0.9667850087591785,0.792148053059478,0.9267173562423884,0.9259542666758894,0.957594624180479,0.9725871807465618,0.9728443449048152,0.9755376344086022,0.9795957284515637,0.9833333333333334
