datasource,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s34b_b88k,0.6548,0.6281,0.6386,0.685,0.6542,0.6532,0.6733,0.6357,0.6262,0.6271,0.6405,0.6709,0.6284,0.6978,0.5274,0.6714,0.8458,0.7098,0.4516,0.1959
commonpool_l_s1b_b8k,0.3842,0.4874,0.4373,0.3929,0.3855,0.3691,0.3474,0.3693,0.3333,0.4407,0.3631,0.408,0.4174,0.4537,0.0333,0.4565,0.7108,0.4868,0.0596,0.3407
openai,0.6558,0.6131,0.6475,0.7079,0.6479,0.6661,0.6667,0.6043,0.6324,0.6102,0.6602,0.6509,0.6026,0.5472,0.5354,0.7124,0.858,0.7236,0.6617,0.1276
datacomp_xl_s13b_b90k,0.4989,0.5176,0.5406,0.5258,0.4639,0.5167,0.4752,0.5176,0.4891,0.5169,0.4814,0.5186,0.2465,0.7228,0.2699,0.4537,0.8708,0.5798,0.2167,0.2633
laion400m_e32,0.631,0.6784,0.6232,0.6791,0.6276,0.6352,0.6282,0.5842,0.5919,0.6271,0.6183,0.6453,0.56,0.7448,0.5779,0.6191,0.8143,0.6234,0.3846,0.2331
datacomp_l_s1b_b8k,0.3355,0.3417,0.3459,0.3633,0.3067,0.3408,0.3289,0.3455,0.3801,0.5169,0.3343,0.3369,0.1265,0.2964,0.1195,0.1046,0.8593,0.4446,0.4202,0.2341
