datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
datacomp_m_s128m_b4k,Avg Sum,0.2287,0.3116,0.2832,0.2413,0.2164,0.2094,0.2092,0.2387,0.2181,0.2458,0.2265,0.2311,0.0839,0.4945,0.0339,0.0198,0.6767,0.0303,0.134,0.1906
datacomp_m_s128m_b4k,openAI Aggregation,0.1849,0.1558,0.1858,0.2252,0.1606,0.1742,0.2299,0.1985,0.1713,0.1356,0.1811,0.1891,0.0052,0.1554,0.8983,0.0042,0.1414,0.002,0.005,0.1711
commonpool_m_s128m_b4k,Avg Sum,0.1599,0.206,0.1895,0.1677,0.1385,0.1528,0.1648,0.1859,0.162,0.1695,0.1595,0.1604,0.0252,0.2398,0.0037,0.0028,0.4505,0.1438,0.2349,0.1544
commonpool_m_s128m_b4k,openAI Aggregation,0.1676,0.1759,0.177,0.1973,0.1448,0.1639,0.1907,0.1784,0.1558,0.1525,0.16,0.1761,0.0052,0.13,0.4898,0.0028,0.3143,0.0963,0.1017,0.1601
openai,Avg Sum,0.646,0.6332,0.6232,0.7045,0.6482,0.6494,0.6511,0.5867,0.595,0.6949,0.6288,0.6652,0.6458,0.5856,0.6679,0.6982,0.8837,0.6326,0.3706,0.27
openai,openAI Aggregation,0.656,0.6332,0.6298,0.707,0.6545,0.6639,0.6674,0.6131,0.5981,0.6864,0.643,0.6707,0.6587,0.6321,0.5792,0.7053,0.892,0.6537,0.4384,0.2129
laion400m_e32,Avg Sum,0.5722,0.5477,0.5612,0.5699,0.5858,0.5807,0.5676,0.5377,0.5389,0.5932,0.5544,0.5922,0.7535,0.6609,0.2323,0.3413,0.9177,0.5937,0.4417,0.3307
laion400m_e32,openAI Aggregation,0.5669,0.5678,0.5627,0.597,0.5609,0.5747,0.5765,0.5327,0.5171,0.5847,0.5399,0.5972,0.7181,0.5842,0.5625,0.2975,0.8933,0.5389,0.2796,0.2738
datacomp_xl_s13b_b90k,Avg Sum,0.4277,0.4724,0.4631,0.442,0.4042,0.4292,0.4205,0.4309,0.4143,0.5254,0.4157,0.4411,0.331,0.7626,0.0511,0.2141,0.9004,0.4235,0.1266,0.3502
datacomp_xl_s13b_b90k,openAI Aggregation,0.4372,0.4724,0.4683,0.4708,0.4109,0.4365,0.4309,0.4435,0.4143,0.5254,0.4204,0.456,0.2935,0.7165,0.321,0.1668,0.8811,0.3892,0.1009,0.309
laion2b_s34b_b79k,Avg Sum,0.62,0.6432,0.6106,0.624,0.6215,0.6279,0.6208,0.5955,0.6012,0.661,0.6024,0.6399,0.6381,0.7803,0.3752,0.576,0.8991,0.5455,0.4351,0.2318
laion2b_s34b_b79k,openAI Aggregation,0.623,0.6382,0.632,0.6478,0.6136,0.6223,0.6268,0.6055,0.6168,0.6102,0.6041,0.6441,0.6303,0.7549,0.5564,0.5364,0.8772,0.531,0.3648,0.2425
