,,Mode,accuracy,Male,Female,East Asian,White,Latino Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
openai,0,Avg Sum,0.9536242468504657,0.9570096685082872,0.9498256489732662,0.9587096774193548,0.9434052757793764,0.9457794208256316,0.9547703180212014,0.9376606683804628,0.967018469656992,0.977667493796526,0.7587939698492462,0.9314159292035398,0.9271803556308214,0.9542424242424242,0.9742489270386266,0.9689578713968958,0.978643216080402,0.9750778816199376,0.9745762711864406
openai,1,Top 1,0.9517071389446776,0.9525207182320442,0.950794265788454,0.9496774193548388,0.9443645083932852,0.9494762784966112,0.953356890459364,0.9318766066838048,0.9696569920844328,0.9710504549214226,0.7638190954773869,0.922566371681416,0.9271803556308214,0.9554545454545454,0.967381974248927,0.9704360679970436,0.9761306532663316,0.9813084112149532,0.9745762711864406
laion400m_e31,0,Avg Sum,0.9576410443673544,0.9497582872928176,0.9664858581944984,0.955483870967742,0.9616306954436452,0.96241528034504,0.9469964664310954,0.9318766066838048,0.9689973614775724,0.978494623655914,0.7487437185929648,0.9233038348082596,0.939034716342083,0.9624242424242424,0.976824034334764,0.9793052475979304,0.9761306532663316,0.9781931464174456,0.9491525423728814
laion400m_e31,1,Top 1,0.9575497535146978,0.9499309392265194,0.9660984114684232,0.9574193548387095,0.9558752997601918,0.96241528034504,0.9484098939929329,0.9363753213367608,0.9689973614775724,0.977667493796526,0.7839195979899497,0.918141592920354,0.9373412362404742,0.9612121212121212,0.9781115879828326,0.9793052475979304,0.978643216080402,0.9813084112149532,0.940677966101695
laion2b_s32b_b82k,0,Avg Sum,0.9649443125798794,0.950103591160221,0.9815962805114296,0.9612903225806452,0.966906474820144,0.9704251386321626,0.9554770318021202,0.9505141388174808,0.9709762532981532,0.9809760132340778,0.7085427135678392,0.9240412979351031,0.9424216765453006,0.9754545454545456,0.9875536480686696,0.9830007390983,0.9836683417085428,0.9844236760124612,0.9661016949152542
laion2b_s32b_b82k,1,Top 1,0.9632097863794048,0.9487223756906076,0.9794653235180164,0.9587096774193548,0.9664268585131894,0.9661121380160196,0.9554770318021202,0.9511568123393316,0.9696569920844328,0.9760132340777502,0.7085427135678392,0.9255162241887904,0.9432684165961048,0.9718181818181818,0.9841201716738196,0.9830007390983,0.9824120603015076,0.9813084112149532,0.9661016949152542
datacomp_xl_s13b_b90k,0,Avg Sum,0.964031404053314,0.949585635359116,0.9802402169701666,0.952258064516129,0.9654676258992806,0.9728897104128158,0.9462897526501768,0.9582262210796916,0.974934036939314,0.979321753515302,0.7638190954773869,0.922566371681416,0.9424216765453006,0.9727272727272728,0.9849785407725322,0.9830007390983,0.9773869346733668,0.9875389408099688,0.9661016949152542
datacomp_xl_s13b_b90k,1,Top 1,0.9630272046740916,0.9518301104972376,0.9755908562572646,0.952258064516129,0.9645083932853716,0.9728897104128158,0.9491166077738517,0.9524421593830334,0.9729551451187336,0.978494623655914,0.7638190954773869,0.9240412979351031,0.9415749364944962,0.9712121212121212,0.9828326180257512,0.983739837398374,0.9736180904522612,0.9844236760124612,0.9745762711864406
commonpool_xl_s13b_b90k,0,Avg Sum,0.9613839693262736,0.9466505524861878,0.9779155366137156,0.953548387096774,0.964988009592326,0.9698089956869994,0.9484098939929329,0.9389460154241646,0.9722955145118732,0.9842845326716294,0.7487437185929648,0.9129793510324484,0.947502116850127,0.9684848484848484,0.9841201716738196,0.9822616407982262,0.9748743718592964,0.9906542056074766,0.9576271186440678
commonpool_xl_s13b_b90k,1,Top 1,0.9613839693262736,0.9499309392265194,0.9742347927160016,0.9567741935483872,0.9587529976019185,0.9704251386321626,0.9526501766784452,0.94280205655527,0.9716358839050132,0.9809760132340778,0.7788944723618091,0.922566371681416,0.9424216765453006,0.9672727272727272,0.9819742489270388,0.9807834441980784,0.9723618090452262,0.9906542056074766,0.9576271186440678
