                        ,  ,Mode    ,balanced_accuracy  ,East Asian         ,White              ,Latino Hispanic    ,Southeast Asian    ,Black              ,Indian             ,Middle Eastern     ,0-2                ,3-9                ,10-19              ,20-29              ,30-39              ,40-49              ,50-59              ,60-69              ,more than 70
openai                  ,0 ,Avg Sum ,0.9563173884378192 ,0.9632305563741528 ,0.9476777116964032 ,0.9516910010787158 ,0.9568877551020408 ,0.9404481824208928 ,0.9722769037436972 ,0.9650704461590072 ,0.7884574240479247 ,0.9313189164280308 ,0.9288796084941552 ,0.9600531870590054 ,0.9748228532751928 ,0.9703120228036242 ,0.976236559139785  ,0.9771802695143657 ,0.9833333333333334
openai                  ,1 ,Top 1   ,0.9563173884378192 ,0.9632305563741528 ,0.9476777116964032 ,0.9516910010787158 ,0.9568877551020408 ,0.9404481824208928 ,0.9722769037436972 ,0.9650704461590072 ,0.7884574240479247 ,0.9313189164280308 ,0.9288796084941552 ,0.9600531870590054 ,0.9748228532751928 ,0.9703120228036242 ,0.976236559139785  ,0.9771802695143657 ,0.9833333333333334
laion400m_e31           ,0 ,Avg Sum ,0.9519072720646627 ,0.948456680668841  ,0.9596889732953504 ,0.9561167747914736 ,0.929436774709884  ,0.9294610336897344 ,0.958892259707348  ,0.9751714562600172 ,0.7385002139495079 ,0.8948421710937757 ,0.9111517488644486 ,0.9612237188106088 ,0.9787521263596722 ,0.9823755471851776 ,0.9775537634408602 ,0.9747648105771676 ,0.9491379310344829
laion400m_e31           ,1 ,Top 1   ,0.9519072720646627 ,0.948456680668841  ,0.9596889732953504 ,0.9561167747914736 ,0.929436774709884  ,0.9294610336897344 ,0.958892259707348  ,0.9751714562600172 ,0.7385002139495079 ,0.8948421710937757 ,0.9111517488644486 ,0.9612237188106088 ,0.9787521263596722 ,0.9823755471851776 ,0.9775537634408602 ,0.9747648105771676 ,0.9491379310344829
laion2b_s32b_b82k       ,0 ,Avg Sum ,0.9645883592594416 ,0.9626003752782536 ,0.9630416312659305 ,0.9688957595830991 ,0.961079431772709  ,0.9484089259526852 ,0.9688872295875476 ,0.9787962652353795 ,0.75497432605905   ,0.937059346301965  ,0.943745532729243  ,0.9682997096724296 ,0.9844094410369448 ,0.9844879364756184 ,0.9809274193548388 ,0.975209763539283  ,0.957471264367816
laion2b_s32b_b82k       ,1 ,Top 1   ,0.9645883592594416 ,0.9626003752782536 ,0.9630416312659305 ,0.9688957595830991 ,0.961079431772709  ,0.9484089259526852 ,0.9688872295875476 ,0.9787962652353795 ,0.75497432605905   ,0.937059346301965  ,0.943745532729243  ,0.9682997096724296 ,0.9844094410369448 ,0.9844879364756184 ,0.9809274193548388 ,0.975209763539283  ,0.957471264367816
datacomp_xl_s13b_b90k   ,0 ,Avg Sum ,0.9565712489912472 ,0.9452591567727402 ,0.963691338897496  ,0.9679279539342742 ,0.9308523409363746 ,0.9327982633509851 ,0.9701630350594128 ,0.9782464870103248 ,0.7541720154043645 ,0.8928178795958    ,0.9223934195660696 ,0.9647717537451066 ,0.9823512147203988 ,0.9863330957955818 ,0.9839112903225806 ,0.9859521993389272 ,0.9747126436781608
datacomp_xl_s13b_b90k   ,1 ,Top 1   ,0.9565712489912472 ,0.9452591567727402 ,0.963691338897496  ,0.9679279539342742 ,0.9308523409363746 ,0.9327982633509851 ,0.9701630350594128 ,0.9782464870103248 ,0.7541720154043645 ,0.8928178795958    ,0.9223934195660696 ,0.9647717537451066 ,0.9823512147203988 ,0.9863330957955818 ,0.9839112903225806 ,0.9859521993389272 ,0.9747126436781608
commonpool_xl_s13b_b90k ,0 ,Avg Sum ,0.9577753975610122 ,0.9491068410861424 ,0.9633970268934536 ,0.9649440131269088 ,0.9441826730692277 ,0.9301562554249616 ,0.9695338349528928 ,0.9801567333855156 ,0.741976893453145  ,0.902662848490833  ,0.9274255839155195 ,0.967428875694585  ,0.9827240763812352 ,0.9813575282500256 ,0.975228494623656  ,0.9907831172133232 ,0.9491379310344829
commonpool_xl_s13b_b90k ,1 ,Top 1   ,0.9577753975610122 ,0.9491068410861424 ,0.9633970268934536 ,0.9649440131269088 ,0.9441826730692277 ,0.9301562554249616 ,0.9695338349528928 ,0.9801567333855156 ,0.741976893453145  ,0.902662848490833  ,0.9274255839155195 ,0.967428875694585  ,0.9827240763812352 ,0.9813575282500256 ,0.975228494623656  ,0.9907831172133232 ,0.9491379310344829
