,,Mode,Accuracy,Male,Female,East Asian,White,Latino Hispanic,Southeast Asian,Black,Indian,Middle Eastern,00-02,03-09,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
openai,0,Avg Sum,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
openai,1,Top 1,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
laion400m_e31,0,Avg Sum,0.5285740368815045,0.9981008287292816,0.0017435102673382,0.5032258064516129,0.5371702637889688,0.4886013555144793,0.519434628975265,0.512853470437018,0.4967018469656992,0.6708023159636063,0.6180904522613065,0.5479351032448377,0.4648602878916172,0.4448484848484848,0.563519313304721,0.6178861788617886,0.6193467336683417,0.6386292834890965,0.5084745762711864
laion400m_e31,1,Top 1,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
laion2b_s32b_b82k,0,Avg Sum,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
laion2b_s32b_b82k,1,Top 1,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
datacomp_xl_s13b_b90k,0,Avg Sum,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
datacomp_xl_s13b_b90k,1,Top 1,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
commonpool_xl_s13b_b90k,0,Avg Sum,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
commonpool_xl_s13b_b90k,1,Top 1,0.5287566185868176,1.0,0.0,0.5012903225806452,0.5381294964028777,0.4886013555144793,0.519434628975265,0.5134961439588689,0.4967018469656992,0.6724565756823822,0.6180904522613065,0.5464601769911505,0.4648602878916172,0.4448484848484848,0.5630901287553648,0.6178861788617886,0.6231155778894473,0.6448598130841121,0.5084745762711864
