datasource,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern
laion2b_s34b_b79k,0.6148,0.6583,0.5914,0.6097,0.6203,0.6206,0.629,0.5905,0.6075,0.6186,0.6031,0.6281,0.5716,0.7736,0.3346,0.6014,0.8747,0.597,0.4764
openai,0.6472,0.6583,0.6401,0.6952,0.647,0.6524,0.6445,0.5892,0.6075,0.661,0.6293,0.6672,0.6652,0.5583,0.5656,0.7314,0.874,0.6814,0.4533
datacomp_xl_s13b_b90k,0.4342,0.4975,0.4602,0.4412,0.4185,0.4365,0.4309,0.4221,0.4268,0.4915,0.4346,0.4337,0.3884,0.7151,0.0739,0.2438,0.8695,0.4426,0.1439
commonpool_m_s128m_b4k,0.1641,0.206,0.1888,0.1592,0.1506,0.1695,0.153,0.1771,0.1495,0.2119,0.1566,0.1726,0.0252,0.2695,0.0037,0.0021,0.4923,0.1286,0.1878
datacomp_m_s128m_b4k,0.2186,0.2965,0.2824,0.2261,0.2006,0.2026,0.2106,0.2161,0.2087,0.2373,0.2162,0.2214,0.0929,0.4628,0.0364,0.0247,0.6369,0.0554,0.0968
laion400m_e32,0.5645,0.5427,0.542,0.5665,0.5655,0.5897,0.5647,0.5389,0.5358,0.5593,0.5582,0.5715,0.6935,0.7055,0.2027,0.3583,0.8991,0.6365,0.3615
