Model,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
ViT-B-16,0.6536,0.6281,0.6357,0.6901,0.6479,0.6571,0.663,0.6382,0.6231,0.7119,0.6397,0.6693,0.6942,0.6719,0.5792,0.6466,0.8233,0.686,0.4194,0.2264
ViT-B-32,0.6238,0.6482,0.6283,0.6367,0.6336,0.6206,0.6171,0.5917,0.5794,0.6017,0.6053,0.6445,0.7542,0.776,0.4208,0.4869,0.8522,0.566,0.4053,0.2035
ViT-L-14,0.6867,0.603,0.677,0.718,0.6791,0.6974,0.7081,0.652,0.6573,0.6949,0.6751,0.6997,0.7981,0.6863,0.6007,0.6297,0.8201,0.7408,0.4872,0.1932
ViT-H-14,0.692,0.6583,0.6652,0.729,0.6973,0.6931,0.6948,0.6696,0.6604,0.7203,0.6846,0.7003,0.7413,0.8096,0.4861,0.6933,0.8715,0.7005,0.4591,0.2211
ViT-g-14,0.6824,0.6281,0.6475,0.7096,0.6833,0.694,0.6925,0.6621,0.6667,0.7119,0.673,0.6929,0.631,0.7276,0.4763,0.7689,0.8676,0.7164,0.5649,0.2027
