,Mode,balanced_accuracy,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9654624891097502,0.9613167038781527,0.9660014104763968,0.9680403834758959,0.9578431372549019,0.9536929418047329,0.9708444509424078,0.9788614931603862,0.7346491228070176,0.9324742437707778,0.9393114062391921,0.9734875301928774,0.9844176769370837,0.9847678916827853,0.9849193548387096,0.9839816933638443,0.9747126436781609
1,Top 1,0.9667696201095555,0.960646564139449,0.9684544732648086,0.9699600419331804,0.962219887955182,0.9520247403045088,0.9736310328802744,0.9800262775355026,0.7768506632434746,0.9455218722227707,0.9505991907034654,0.9708214842402103,0.9835963330777708,0.9816374834571923,0.9795698924731182,0.9771802695143657,0.9660919540229885
