datasource,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s34b_b79k,0.6238,0.6482,0.6283,0.6367,0.6336,0.6206,0.6171,0.5917,0.5794,0.6017,0.6053,0.6445,0.7542,0.776,0.4208,0.4869,0.8522,0.566,0.4053,0.2035
openai,0.6402,0.6281,0.618,0.6842,0.6339,0.6451,0.6475,0.6206,0.6137,0.678,0.6222,0.6604,0.6806,0.5424,0.6303,0.7088,0.8445,0.684,0.3722,0.2653
datacomp_s_s13m_b4k,0.1531,0.1357,0.1622,0.1795,0.1458,0.1356,0.1641,0.1646,0.1682,0.1186,0.154,0.1521,0.0361,0.0978,0.3148,0.3922,0.1658,0.0264,0.0438,0.1274
datacomp_xl_s13b_b90k,0.4366,0.5025,0.455,0.4378,0.4291,0.4348,0.4353,0.4309,0.3956,0.5169,0.4354,0.438,0.5052,0.6293,0.0943,0.1972,0.8374,0.5,0.1613,0.3235
commonpool_m_s128m_b4k,0.1724,0.2161,0.1991,0.171,0.1615,0.1742,0.1567,0.1947,0.134,0.2034,0.1616,0.1844,0.029,0.295,0.0037,0.0042,0.5598,0.1332,0.1183,0.1596
datacomp_m_s128m_b4k,0.21,0.3065,0.2832,0.2244,0.1894,0.1953,0.1899,0.2098,0.1776,0.2458,0.2013,0.2197,0.1181,0.3789,0.016,0.012,0.6703,0.1088,0.0629,0.1833
laion400m_e32,0.5652,0.5377,0.5376,0.5622,0.5652,0.5974,0.5602,0.5603,0.5109,0.5593,0.5565,0.575,0.6845,0.7122,0.2298,0.3689,0.856,0.6695,0.3333,0.3208
