datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s34b_b88k,Avg Sum,0.6603,0.6382,0.6475,0.6892,0.6567,0.6678,0.6689,0.6344,0.6262,0.678,0.6483,0.6738,0.6968,0.7046,0.5484,0.6481,0.84,0.6985,0.4227,0.2286
commonpool_l_s1b_b8k,Avg Sum,0.3972,0.4573,0.4329,0.3954,0.3864,0.3893,0.3784,0.407,0.3988,0.5085,0.384,0.412,0.3587,0.5213,0.0388,0.4876,0.7513,0.4611,0.072,0.3456
openai,Avg Sum,0.6446,0.608,0.6232,0.6876,0.6415,0.6588,0.6659,0.5791,0.6137,0.6102,0.6466,0.6424,0.6594,0.4671,0.6192,0.7293,0.8329,0.6695,0.5931,0.1858
datacomp_xl_s13b_b90k,Avg Sum,0.5041,0.5276,0.5406,0.5318,0.4785,0.5137,0.4834,0.5075,0.4766,0.5847,0.4879,0.5223,0.2568,0.7549,0.2939,0.5046,0.8676,0.5132,0.1911,0.2921
laion400m_e32,Avg Sum,0.6403,0.6633,0.6091,0.674,0.6333,0.6554,0.646,0.608,0.6355,0.6864,0.6281,0.654,0.6239,0.7448,0.5632,0.6254,0.831,0.593,0.416,0.2122
datacomp_l_s1b_b8k,Avg Sum,0.3554,0.3819,0.3761,0.392,0.3297,0.3622,0.3466,0.3505,0.3458,0.4492,0.3425,0.3698,0.18,0.329,0.1738,0.1322,0.829,0.469,0.3788,0.2238
