datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s34b_b79k,Top 01,0.6238,0.6482,0.6283,0.6367,0.6336,0.6206,0.6171,0.5917,0.5794,0.6017,0.6053,0.6445,0.7542,0.776,0.4208,0.4869,0.8522,0.566,0.4053,0.2035
openai,Avg Sum,0.6529,0.6231,0.6357,0.6994,0.6485,0.6549,0.6704,0.6131,0.6168,0.6864,0.6407,0.6666,0.7052,0.5995,0.6266,0.6784,0.8644,0.6728,0.3863,0.2613
datacomp_s_s13m_b4k,Avg Sum,0.1581,0.1206,0.1504,0.199,0.15,0.1502,0.1833,0.1583,0.1153,0.1102,0.1535,0.1633,0.0568,0.0753,0.4855,0.2403,0.1864,0.0119,0.0422,0.145
datacomp_xl_s13b_b90k,Avg Sum,0.441,0.4724,0.4771,0.453,0.4261,0.4386,0.4324,0.441,0.405,0.5169,0.4387,0.4436,0.5355,0.6345,0.0604,0.2205,0.8348,0.5033,0.1704,0.3624
commonpool_m_s128m_b4k,Top 01,0.1724,0.2161,0.1991,0.171,0.1615,0.1742,0.1567,0.1947,0.134,0.2034,0.1616,0.1844,0.029,0.295,0.0037,0.0042,0.5598,0.1332,0.1183,0.1596
datacomp_m_s128m_b4k,Avg Sum,0.2238,0.2915,0.2928,0.2354,0.2082,0.209,0.2062,0.2211,0.1869,0.2458,0.2106,0.2385,0.0981,0.4273,0.0117,0.0113,0.7269,0.1161,0.0546,0.1953
laion400m_e32,Avg Sum,0.5679,0.5578,0.5494,0.5631,0.5724,0.5863,0.5588,0.5628,0.5421,0.5678,0.5546,0.5829,0.6974,0.7122,0.1824,0.3823,0.8515,0.6913,0.3681,0.3726
