datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s32b_b82k,Avg Sum,0.6886,0.6181,0.6858,0.7197,0.6836,0.6948,0.7014,0.6558,0.6636,0.6864,0.6796,0.6988,0.7929,0.7084,0.586,0.6346,0.8226,0.7368,0.4888,0.1926
openai,Top 01,0.6616,0.593,0.6504,0.7036,0.6561,0.6631,0.6748,0.6256,0.6542,0.7203,0.6642,0.6587,0.6929,0.4585,0.6106,0.7258,0.8413,0.7342,0.6427,0.2138
datacomp_xl_s13b_b90k,Avg Sum,0.6231,0.6281,0.6232,0.6351,0.6221,0.6369,0.6075,0.608,0.6044,0.5763,0.6176,0.6292,0.7374,0.8331,0.2736,0.5498,0.8554,0.6385,0.3507,0.3319
laion400m_e32,Avg Sum,0.6669,0.6482,0.6445,0.707,0.667,0.6717,0.677,0.6256,0.6449,0.678,0.658,0.6769,0.7658,0.729,0.4763,0.5081,0.883,0.723,0.5261,0.1825
commonpool_xl_s13b_b90k,Avg Sum,0.588,0.5779,0.5789,0.602,0.5761,0.6017,0.592,0.5766,0.5919,0.6525,0.5932,0.5821,0.6161,0.7559,0.2348,0.641,0.8515,0.5251,0.4144,0.3422
