datasource,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
laion2b_s32b_b82k,0.6867,0.603,0.677,0.718,0.6791,0.6974,0.7081,0.652,0.6573,0.6949,0.6751,0.6997,0.7981,0.6863,0.6007,0.6297,0.8201,0.7408,0.4872,0.1932
openai,0.6616,0.593,0.6504,0.7036,0.6561,0.6631,0.6748,0.6256,0.6542,0.7203,0.6642,0.6587,0.6929,0.4585,0.6106,0.7258,0.8413,0.7342,0.6427,0.2138
datacomp_xl_s13b_b90k,0.6172,0.608,0.6276,0.6291,0.6158,0.63,0.5979,0.5917,0.6106,0.5932,0.6032,0.6329,0.7277,0.8302,0.2797,0.5435,0.856,0.6438,0.3069,0.3186
laion400m_e32,0.6648,0.6683,0.6453,0.7079,0.6658,0.6691,0.6689,0.6206,0.6386,0.661,0.66,0.6701,0.7645,0.7329,0.5009,0.4982,0.8728,0.717,0.5012,0.1572
commonpool_xl_s13b_b90k,0.5868,0.5729,0.5878,0.6037,0.5639,0.6009,0.6024,0.5766,0.5981,0.6525,0.5862,0.5876,0.5929,0.6921,0.3506,0.6495,0.831,0.5145,0.4177,0.2277
